id,ABEV3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BTOW3,CCRO3,CIEL3,CMIG4,COGN3,CPFE3,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GNDI3,GOAU4,GOLL4,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NTCO3,PCAR3,PETR3,PETR4,PRIO3,QUAL3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SULA11,SUZB3,TAEE11,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VIVT3,VVAR3,WEGE3,YDUQ3,Ibovespa,IBOV
1,5,0,0,18,0,13,12,3,0,5,0,4,4,1,2,2,3,11,0,0,0,2,4,1,1,6,0,1,1,6,2,0,2,4,0,5,0,6,4,0,1,0,0,0,2,11,4,1,1,1,2,0,0,0,0,0,2,11,0,0,7,0,4,7,5,0,0,3,0,2,0,4,1,0,0,0,0,2,1
2,3,0,0,28,2,13,11,1,0,6,0,4,1,1,1,3,12,13,0,0,0,1,12,0,1,4,0,4,4,16,2,0,2,8,0,8,0,12,6,0,1,0,0,0,1,12,5,2,1,2,0,0,0,0,0,0,3,14,0,0,7,0,5,7,3,1,0,2,0,2,0,6,1,0,0,0,0,3,1
3,5,0,0,20,1,13,12,1,0,6,0,2,1,1,2,0,4,9,0,1,0,1,8,2,1,7,0,4,4,10,0,0,3,5,0,8,0,9,5,0,1,0,0,0,1,9,3,1,2,1,0,0,1,0,0,0,3,12,0,0,3,0,3,5,3,1,0,1,0,4,0,5,1,0,0,0,0,3,1
4,4,0,0,19,0,15,13,3,0,6,0,6,1,1,1,1,6,9,0,1,0,2,6,2,2,3,0,4,1,16,4,0,2,4,0,8,0,7,6,0,1,1,0,0,2,6,4,2,2,1,1,1,1,0,0,0,2,11,0,0,12,0,5,8,3,4,0,1,0,2,0,6,2,0,0,0,0,2,0
5,3,0,0,17,0,17,8,2,0,8,0,4,1,2,1,2,9,12,0,1,0,1,8,1,1,10,0,3,3,11,3,0,2,6,3,9,0,10,8,0,1,0,0,0,3,15,7,1,3,3,2,0,0,1,0,0,2,12,0,0,14,0,5,3,7,1,0,0,0,2,0,5,2,0,0,0,0,2,0
6,4,0,0,22,0,13,13,0,0,4,0,9,1,2,4,1,3,15,0,1,0,1,7,1,1,8,0,4,4,13,2,0,2,7,0,8,0,12,8,0,1,0,0,0,3,10,10,1,3,1,3,1,0,0,0,0,3,15,0,0,8,0,4,8,7,2,0,1,0,4,0,7,2,0,0,0,0,3,1
7,4,0,0,24,1,8,12,1,0,6,0,4,1,1,2,3,5,14,0,2,0,1,8,1,1,9,0,10,9,12,0,2,2,7,2,10,0,11,7,0,1,1,0,0,2,13,9,1,3,1,1,0,1,0,0,0,3,13,0,0,5,0,11,4,3,5,0,1,0,0,0,6,2,0,0,0,0,3,1
8,3,0,0,18,1,10,8,0,0,3,0,4,0,1,3,1,2,7,0,0,0,1,4,1,1,7,0,6,2,9,2,0,2,5,0,7,0,7,3,0,0,0,0,0,2,7,4,1,2,1,0,0,0,0,0,0,2,8,0,0,4,0,0,5,0,2,0,1,0,2,0,3,1,0,0,0,0,2,1
9,2,0,0,30,2,18,10,1,0,8,0,4,2,2,2,2,2,13,0,1,0,1,7,1,1,6,0,3,0,7,2,0,0,7,2,6,0,7,5,0,0,0,0,0,2,11,3,1,1,1,0,0,0,0,0,0,2,11,0,0,8,0,0,3,3,2,0,0,0,4,0,3,2,0,0,0,0,2,0
10,4,0,0,19,1,16,12,3,0,3,0,7,1,1,3,0,8,19,0,0,0,1,11,1,1,9,0,4,4,16,2,0,3,5,2,9,0,10,7,0,1,0,0,0,2,11,4,1,2,3,0,1,0,0,0,0,2,10,0,0,13,3,5,3,3,4,0,5,0,3,0,4,1,0,0,0,0,2,1
11,4,0,0,21,0,14,14,4,0,3,0,3,1,0,1,0,4,9,0,2,0,1,7,2,1,7,0,3,4,12,3,0,2,5,0,6,0,7,4,0,1,0,0,0,2,6,4,1,1,2,0,0,0,0,0,0,1,9,0,0,8,0,3,7,5,3,0,3,0,1,1,8,1,0,0,0,0,2,1
12,4,0,0,28,1,15,12,3,0,5,0,6,0,1,1,3,3,17,0,3,0,2,5,0,2,4,0,4,4,6,3,0,2,8,2,10,0,8,9,0,0,0,0,0,2,9,4,1,2,2,0,0,0,0,0,0,2,9,0,0,12,0,8,5,3,3,0,2,0,0,0,4,1,0,0,0,0,2,1
13,5,0,0,18,0,10,7,3,0,3,0,5,1,1,2,3,2,19,0,4,0,1,7,1,1,7,0,11,8,13,2,0,3,4,2,7,0,8,10,0,1,2,0,0,3,8,8,2,3,2,1,0,0,0,0,0,2,9,0,0,16,0,8,3,3,2,0,2,0,2,0,5,1,0,0,0,0,2,1
