tickers,ref.date,volume,price.open,price.high,price.low,price.close,price.adjusted,ret.adjusted.prices,ret.closing.prices
^BVSP,2020-03-30,51218700,73431,75511,67802,69538,69538,,
^BVSP,2020-04-06,41926900,69556,80428,69556,77682,77682,0.117115821565187,0.117115821565187
^BVSP,2020-04-13,43349500,77682,81668,76405,78990,78990,0.0168378775005793,0.0168378775005793
^BVSP,2020-04-20,46076300,78989,81934,72041,75331,75331,-0.0463223192809217,-0.0463223192809217
^BVSP,2020-04-27,47120200,75334,83598,75327,80506,80506,0.0686968180430367,0.0686968180430367
^BVSP,2020-05-04,52068100,80501,81066,77640,80263,80263,-0.00301840856582114,-0.00301840856582114
^BVSP,2020-05-11,57140300,80263,80723,75697,77557,77557,-0.0337141646836027,-0.0337141646836027
^BVSP,2020-05-18,52472400,77576,83309,77571,82173,82173,0.0595175161494126,0.0595175161494126
^BVSP,2020-05-25,58675100,82198,88091,82193,87403,87403,0.0636462098256119,0.0636462098256119
^BVSP,2020-06-01,61622900,87395,97356,86837,94637,94637,0.0827660377790236,0.0827660377790236
^BVSP,2020-06-08,46900500,94640,97693,90811,92795,92795,-0.0194638460644356,-0.0194638460644356
^BVSP,2020-06-15,59629300,92780,97540,90148,96572,96572,0.0407026240637964,0.0407026240637964
^BVSP,2020-06-22,45117100,96572,97486,93259,93834,93834,-0.028351903243176,-0.028351903243176
^BVSP,2020-06-29,44629100,93837,97864,93825,96765,96765,0.0312360125327706,0.0312360125327706
^BVSP,2020-07-06,36730700,96776,100191,96768,100032,100032,0.0337622074097039,0.0337622074097039
^BVSP,2020-07-13,48243800,100027,103017,98289,102888,102888,0.0285508637236085,0.0285508637236085
^BVSP,2020-07-20,51033100,102888,105449,100859,102382,102382,-0.00491796905372832,-0.00491796905372832
^BVSP,2020-07-27,50468800,102381,105704,102381,102912,102912,0.00517669121525266,0.00517669121525266
^BVSP,2020-08-03,53876600,102913,104523,100005,102776,102776,-0.00132151741293529,-0.00132151741293529
^BVSP,2020-08-10,47032200,102776,104409,100187,101353,101353,-0.0138456448976415,-0.0138456448976415
^BVSP,2020-08-17,48765900,101348,102334,98513,101521,101521,0.00165757303681202,0.00165757303681202
^BVSP,2020-08-24,40781400,101525,102708,99359,102143,102143,0.00612681120162328,0.00612681120162328
^BVSP,2020-08-31,53107100,102142,103226,98961,101242,101242,-0.00882096668396271,-0.00882096668396271
^BVSP,2020-09-08,34437100,101239,101578,97758,98363,98363,-0.0284368147606725,-0.0284368147606725
^BVSP,2020-09-14,35908500,98367,100949,98045,98290,98290,-0.000742148978782664,-0.000742148978782664
^BVSP,2020-09-21,42532100,98283,98283,95632,96999,96999,-0.0131346016888798,-0.0131346016888798
^BVSP,2020-09-28,46528800,97005,98314,93408,94016,94016,-0.0307528943597357,-0.0307528943597357
^BVSP,2020-10-05,51719600,94019,98642,93984,97483,97483,0.036876701837985,0.036876701837985
^BVSP,2020-10-13,32933900,97483,99571,97336,98309,98309,0.00847327226285599,0.00847327226285599
^BVSP,2020-10-19,44504500,98310,102218,98310,101260,101260,0.0300175975749932,0.0300175975749932
^BVSP,2020-10-26,51141900,101260,101784,93387,93952,93952,-0.0721706498123642,-0.0721706498123642
^BVSP,2020-11-03,39734500,93968,100928,93968,100799,100799,0.0728776396457767,0.0728776396457767
^BVSP,2020-11-09,65549100,100954,105758,100954,104512,104512,0.0368356828936796,0.0368356828936796
^BVSP,2020-11-16,40928300,104729,107810,104729,106517,106517,0.0191843998775261,0.0191843998775261
^BVSP,2020-11-23,45142600,106050,111603,106050,110575,110575,0.0380972051409634,0.0380972051409634
^BVSP,2020-11-30,60806200,110598,113864,108829,113682,113682,0.0280985756274021,0.0280985756274021
^BVSP,2020-12-07,47051800,113751,115527,112567,115323,115323,0.0144350029028342,0.0144350029028342
^BVSP ,2020-12-14,33895500,115137,119027,114431,118157,118157,0.0245744560928869,0.0245744560928869
